Links,Brand,Name,Ingredients
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=0,Cantu,Cantu Leave in Conditioning Repair Cream - 16oz,"Aqua (Water), Cetearyl Alcohol, Canola Oil, Glycerin, Butyrospermum Parkii (Shea) Butter, Dicetyldimonium Chloride, Behentrimonium Methosulfate, Parfum (Fragrance), Dimethicone, Phenoxyethanol, Ethylhexylglycerin, Polyquaternium-10, Sodium Chloride, Disodium Edta, Citric Acid, Olea Europaea (Olive) Fruit Oil, Cyclopentasiloxane, Cyclohexasiloxane, Dimethicone Peg-8 Meadowfoamate, Polyquaternium-37, Propylene Glycol Dicaprylate/Dicaprate, Ppg-1 Trideceth-6, Panthenol, Hydrolyzed Wheat Protein, Pentaerythrityl Tetracaprylate/Tetracaprate, Silk Amino Acids, Hydrolyzed Collagen (Peptone), Citrus Aurantium Dulcis (Orange) Peel Oil, Salvia Officinalis (Sage) Oil, Urtica Dioica (Nettle) Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Aloe Barbadensis (Aloevera) Leaf Juice(Decolorized), Achillea Millefolium (Yarrow) Extract, Actinidia Chinensis (Kiwi) Fruit Water, Propylene Glycol, Hydroxyethylcellulose, Sodium Hyaluronate, Sodium Methyltaurate, Hydrolyzed Wheat Protein Pg-Propyl Silanetriol, Benzyl Salicylate, Coumarin, Limonene, Hexyl Cinnamal, Butylphenyl Methylpropional, Linalool."
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=0,TPH,TPH by TARAJI Ride Or Die Detangling Leave-In Conditioner - 4 fl oz,"Water (Aqua/Eau), Cetearyl Alcohol, Propanediol, Fragrance (Parfum), Behentrimonium Chloride, Polyglyceryl-2 Diisostearate/Ipdi Copolymer, Phenoxyethanol, Cetyl Alcohol, Cocoglucosides Hydroxypropyltrimonium Chloride, Copernicia Cerifera (Carnauba) Wax, Panthenol, Ethylhexylglycerin, Menthol, Ceteareth-20, Disodium Edta, Steareth-100, Glycerin, Eucalyptus Globulus Leaf Oil, Hamamelis Virginiana (Witch Hazel) Water, Caprylyl Glycol, Hexylene Glycol, Panax Ginseng Root Extract, Mentha Viridis (Spearmint) Leaf Extract, Calendula Officinalis Extract, Hydrolyzed Collagen, Benzoic Acid, Biotin, Limonene, Coumarin, Citronellol, Geraniol, Linalool, Benzyl Benzoate."
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=0,ections,SheaMoisture Coconut & Hibiscus Kids Extra-Moisturizing Detangler - 8 fl oz,"Aloe Barbadensis Leaf Juice, Cocos Nucifera (Coconut) Fruit Juice, Polyglyceryl-10 Myristate, Glycerin (Vegetable), Cetrimonium Chloride, Heptyl Undecylenate, Panthenol, Cocos Nucifera (Coconut) Oil, Hibiscus Rosa-Sinensis Flower Extract, Simmondsia Chinensis (Jojoba) Seed Oil, Ulmus Fulva (Slippery Elm) Bark Extract, Althaea Officinalis Root Extract, Hydrolyzed Silk, Hydroxyethylcellulose, Hydrolyzed Rice Protein, Melia Azadirachta Seed Oil, Behentrimonium Chloride, Fragrance (Essential Oil Blend), Triethyl Citrate, Caprylyl Glycol, Benzoic Acid."
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=0,Kinky-Curly,Kinky-Curly Knot Today Leave In Detangler - 8oz,"Botanical Infusion Of Water / Aqua, Mangifera Indica / Organic Mango Extract, Ulmus Fulva / Organic Slippery Elm, Althaea Officinalis / Organic Marshmallow Root, Cymbopogon Flexuosus / Organic Lemongrass, Cetyl Alcohol, Behentrimonium Methosulfate, Citric Acid, Phenoxyethanol And Fragrance."
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=0, collection,SheaMoisture Leave In Conditioner for Over-Processed Damaged Hair 100% Pure Jamaican Black Castor Oil - 11 fl oz,No Info
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=0,Emerge Hair Care,Emerge Your Mane Bestie Leave-In Conditioner - 15 fl oz,"Ingredients: Water. Cetearyl Alcohol, Helianthus Annuus (Sunflower) Seed Oil, Behentrimonium Methosulfate, Cetyl Alcohol, Caryocar Brasiliense (Pequi) Fruit Oil, Prunus Amygdalus Dulcis (Sweet Almond) Fruit Extract, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Glycerin (Vegetable), Zea Mays (Corn) Starch, Hydroxypropyltrimonium Hydrolyzed Corn Starch, Tocopherol, Xanthan Gum, Polyglyceryl-4 Caprate, Phenoxyethanol, Fragrance"
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=0,Mixed Chicks,Mixed Chicks Leave - In Conditioner - 10 fl oz,"Ingredients: (Water), Glycerin, Cetearyl Alcohol, Amodimethicone, Stearalkonium Chloride, Pvp, Phenoxyethanol, Hydroxypropyltrimonium Chloride, Methyl Gluceth-20, Ethylhexyl Methoxycinnamate, Cetyl Alcohol, Parfum (Fragrance), Polysorbate 60, Hydroxyethylcellulose, Soluble Collagen, Ethylhexylglycerine, Oenothera Biennis (Evening Primrose) Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Carthamus Tinctorius (Safflower) Seed Oil, Silk Amino Acids, Wheat Amino, Acids, Potassium Sorbate, Benzyl Salicylate, Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde, Hexyl Cinnamal, Geraniol, Linalool, Alpha-Isomethyl Ionone, Citronellol, Ci 19140 (Yellow 5), Ci 15985 (Yellow 6)"
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=0,Curls,Curls Blueberry Bliss Reparative Leave In Conditioner - 8 fl oz,"Purified Water, Behentrimonium Methosulfate, Cetearyl Alcohol, Cetyl Alcohol, Certified Organic Blueberry Fruit Extract, Certified Organic Coconut Oil, Glycereth-26, Sorbitol, Certified Organic Aloe Barbadensis Leaf Juice, Hydrolyzed Quinoa, Silk Amino Acids, Certified Organic Chamomile Flower Extract, Fragrance, Phenoxyethanol, Caprylyl Glycol."
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=0, collection,SheaMoisture Leave In Conditioner for Over-Processed Damaged Hair 100% Pure Jamaican Black Castor Oil - 11 fl oz,No Info
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=0,As I Am,As I Am Leave In Conditioner - 8 fl oz,"Ingredients: Aqua/Water/Eau, Cetearyl Alcohol, Cetyl Alcohol, Cocos Nucifera (Coconut) Fruit Powder, Phyllanthus Emblica Fruit Powder, Beta Vulgaris (Beet) Root Extract, Phytosterols, Serenoa Serrulata Fruit Extract, Camellia Sinensis Leaf Extract, Glycerin, Pyrus Malus (Apple) Fruit Extract, Citrus Limon (Lemon) Peel Extract, Saccharum Officinarum (Sugar Cane) Extract, Betaine, Behentrimonium Methosulfate, Stearamidopropyl Dimethylamine, Citric Acid, Diazolidinyl Urea, Lodopropynl Butylcarbamate, Potassium Sorbate, Polyacrylamide, Fragrance/Parfum, Coumarin, Limonene."
